g_id	ar_id	ed_id	series_id
0	0	0	LNU04000048
0	0	1	LNU04027659
0	0	2	LNU04027660
0	0	3	ADOP25O
0	0	4	ADAP25O
0	0	5	CGBD25O
0	0	6	CGMD25O
0	1	0	LNU04000089
0	1	1	LHSD2534
0	1	2	HSGS2534
0	1	3	ADOP2534
0	1	4	ADAP2534
0	1	5	CGBD2534
0	1	6	CGMD2534
0	2	0	LNU04000091
0	2	1	LHSD3544
0	2	2	HSGS3544
0	2	3	ADOP3544
0	2	4	ADAP3544
0	2	5	CGBD3544
0	2	6	CGMD3544
0	3	0	LNU04000093
0	3	1	LHSD4554
0	3	2	HSGS4554
0	3	3	ADOP4554
0	3	4	ADAP4554
0	3	5	CGBD4554
0	3	6	CGMD4554
0	4	0	LNU04000095
0	4	1	LHSD5564
0	4	2	HSGS5564
0	4	3	ADOP5564
0	4	4	ADAP5564
0	4	5	CGBD5564
0	4	6	CGMD5564
0	5	0	LNU04000097
0	5	1	LHSD65O
0	5	2	HSGS65O
0	5	3	ADOP65O
0	5	4	ADAP65O
0	5	5	CGBD65O
0	5	6	CGMD65O
1	0	0	LNU04000049
1	0	1	LNU04027675
1	0	2	LNU04027676
1	0	3	ADOP25OM
1	0	4	ADAP25OM
1	0	5	CGBD25OM
1	0	6	CGMD25OM
1	1	0	LNU04000164
1	1	1	LHSD2534M
1	1	2	HSGS2534M
1	1	3	ADOP2534M
1	1	4	ADAP2534M
1	1	5	CGBD2534M
1	1	6	CGMD2534M
1	2	0	LNU04000173
1	2	1	LHSD3544M
1	2	2	HSGS3544M
1	2	3	ADOP3544M
1	2	4	ADAP3544M
1	2	5	CGBD3544M
1	2	6	CGMD3544M
1	3	0	LNU04000182
1	3	1	LHSD4554M
1	3	2	HSGS4554M
1	3	3	ADOP4554M
1	3	4	ADAP4554M
1	3	5	CGBD4554M
1	3	6	CGMD4554M
1	4	0	LNU04000190
1	4	1	LHSD5564M
1	4	2	HSGS5564M
1	4	3	ADOP5564M
1	4	4	ADAP5564M
1	4	5	CGBD5564M
1	4	6	CGMD5564M
1	5	0	LNU04000199
1	5	1	LHSD65OM
1	5	2	HSGS65OM
1	5	3	ADOP65OM
1	5	4	ADAP65OM
1	5	5	CGBD65OM
1	5	6	CGMD65OM
2	0	0	LNU04000050
2	0	1	LNU04027679
2	0	2	LNU04027680
2	0	3	ADOP25OW
2	0	4	ADAP25OW
2	0	5	CGBD25OW
2	0	6	CGMD25OW
2	1	0	LNU04000327
2	1	1	LHSD2534W
2	1	2	HSGS2534W
2	1	3	ADOP2534W
2	1	4	ADAP2534W
2	1	5	CGBD2534W
2	1	6	CGMD2534W
2	2	0	LNU04000334
2	2	1	LHSD3544W
2	2	2	HSGS3544W
2	2	3	ADOP3544W
2	2	4	ADAP3544W
2	2	5	CGBD3544W
2	2	6	CGMD3544W
2	3	0	LNU04000341
2	3	1	LHSD4554W
2	3	2	HSGS4554W
2	3	3	ADOP4554W
2	3	4	ADAP4554W
2	3	5	CGBD4554W
2	3	6	CGMD4554W
2	4	0	LNU04000347
2	4	1	LHSD5564W
2	4	2	HSGS5564W
2	4	3	ADOP5564W
2	4	4	ADAP5564W
2	4	5	CGBD5564W
2	4	6	CGMD5564W
2	5	0	LNU04000354
2	5	1	LHSD65OW
2	5	2	HSGS65OW
2	5	3	ADOP65OW
2	5	4	ADAP65OW
2	5	5	CGBD65OW
2	5	6	CGMD65OW
			
0	1	7	CGDD2534
0	2	7	CGDD3544
0	3	7	CGDD4554
0	4	7	CGDD5564
0	5	7	CGDD65O
1	1	7	CGDD2534M
1	2	7	CGDD3544M
1	3	7	CGDD4554M
1	4	7	CGDD5564M
1	5	7	CGDD65OM
2	1	7	CGDD2534W
2	2	7	CGDD3544W
2	3	7	CGDD4554W
2	4	7	CGDD5564W
2	5	7	CGDD65OW
